epoch,train_size,eval_size,unlabel_size,test_size,eval_accuracy,eval_acc_at_k,eval_f1,eval_precision,eval_recall,eval_buzzni,test_accuracy,test_acc_at_k,test_f1,test_precision,test_recall,test_buzzni
0,400,100,2998,750,0.35,0.618421052631579,0.31795670995670994,0.33638888888888885,0.35,0.37499999999999994,0.31866666666666665,0.7135842880523732,0.2864632367525265,0.3617058713701945,0.31866666666666665,0.3445010924981791
1,400,100,2998,750,0.45,0.7857142857142857,0.39646020646020635,0.42280158730158734,0.45,0.17100694444444445,0.4693333333333333,0.7414448669201521,0.4341048453976732,0.5042456450246035,0.4693333333333333,0.22566995768688294
2,400,100,1297,750,0.45,0.782608695652174,0.39379365079365075,0.38449999999999995,0.45,0.2724867724867725,0.4066666666666667,0.7648725212464589,0.39230405092864057,0.5373091363723702,0.4066666666666667,0.22831423895253683
3,400,100,731,750,0.52,0.8235294117647058,0.4816349206349206,0.5352380952380953,0.52,0.35457516339869277,0.5213333333333333,0.8415300546448088,0.4991157692633746,0.5882881170285561,0.5213333333333333,0.32172869147659067
4,400,100,582,750,0.48,0.7972972972972973,0.42034615384615387,0.4534841269841271,0.48,0.537037037037037,0.48533333333333334,0.8022598870056498,0.4549124389591804,0.5307770429948391,0.48533333333333334,0.46921443736730356
5,400,100,480,750,0.27,0.6875,0.19557889822595706,0.1771666666666667,0.27,0.23986486486486483,0.296,0.7222222222222222,0.23724222453840574,0.27108569909991936,0.296,0.33783783783783783
6,400,100,287,750,0.27,0.6956521739130435,0.24014285714285713,0.2595281385281385,0.27,0.15697674418604654,0.28,0.6625514403292181,0.2461186050519042,0.36570615761240394,0.28,0.14452988465571479
7,400,100,187,750,0.2,0.5918367346938775,0.1433867243867244,0.14771978021978022,0.2,0.21875,0.19733333333333333,0.5317997293640054,0.15497493509593413,0.2540890496014499,0.19733333333333333,0.20154686078252954
8,400,100,61,750,0.28,0.6,0.21933150183150182,0.22978896103896104,0.28,0.1326530612244898,0.248,0.5221238938053098,0.20641052815090805,0.3382006910913902,0.248,0.17425968109339407
9,400,100,61,750,0.32,0.6436781609195402,0.28446703296703296,0.3107380952380952,0.32,0.18577981651376146,0.264,0.5646687697160884,0.22080838700723085,0.3298948907093127,0.264,0.17891464104013566
